"ResponseId","dospert_ethic","dospert_financial","dospert_hs","dospert_rec","dospert_inv","dospert_gam","dospert_soc"
"R_1OrmfvViIIXPDdr",16,8,13,18,5,3,16
"R_5WJzyXm1bPb1Mqr",15,17,19,18,8,9,17
"R_1mL80iqJBhDtnVr",14,12,11,15,8,4,13
"R_1VcbQ3znfpYryoN",19,20,26,20,11,9,26
"R_73BSGFP020mNMRZ",26,26,21,29,14,12,27
"R_7znMte9Fn0Kw6yq",27,25,28,26,14,11,24
"R_5c6nqaZjkF2vfuj",13,14,4,12,7,7,10
"R_74HSw0iTvD62TuS",22,16,15,17,9,7,18
"R_3H0oNQ7oDr9XRRH",22,24,23,26,12,12,28
"R_6102HTDOsz0J6SJ",15,9,12,11,5,4,9
"R_5vcqYL0BizsO7Qd",14,12,17,20,8,4,22
"R_7dogZ0Oz7azj1Xw",0,0,2,4,0,0,8
"R_3f2DHwfgRS0sAJG",23,16,25,24,12,4,23
"R_71TYMAVazqHNOcV",19,17,12,17,11,6,16
"R_5EHpaPbouwc4Aui",19,16,13,18,7,9,21
"R_169hOny4gr1kra1",15,5,14,12,5,0,11
"R_7DBxEAwbQm3IGaZ",11,15,13,17,8,7,13
"R_72VqWQ64cS9s1eS",3,2,11,3,2,0,9
"R_5qKBbFgLjUv6MvY",16,15,12,13,7,8,15
"R_7S8Yw1ljOZQdAUV",9,6,9,7,4,2,8
"R_1ygyr8RAzKWxizU",9,3,11,11,3,0,13
"R_1zx0Ht0LHoseGoD",13,2,3,18,2,0,15
"R_1EWOAaGRUzstYXe",22,18,19,19,8,10,17
"R_3aCtBWhSdvXdKIv",0,0,2,2,0,0,3
"R_7qaqCc0Dq7AD704",15,11,15,16,5,6,14
"R_5zJj0DBWnq8VaiF",3,3,6,0,3,0,9
"R_7KBKtmqWpZeeFIC",1,3,5,6,3,0,10
"R_7sd776tgHyHsY4x",6,0,9,2,0,0,12
"R_7jd2sk5m4kwCFkh",25,31,22,25,15,16,31
"R_1uw8Em9r995XY3H",13,8,14,15,6,2,10
"R_6PdMi1TwYvawJlW",19,18,11,19,11,7,15
"R_7h6E7YF3YFBnKpD",25,24,25,25,11,13,25
"R_7qHB1hl0ryivssd",28,25,26,28,12,13,25
"R_16aV2o4LR1hMeDb",20,18,17,20,11,7,16
"R_67PcRAXtMP0JUaQ",18,19,18,21,8,11,14
"R_3gCQAlE9kRFCBjz",19,19,19,21,10,9,21
"R_6qwfdFvKxe98zeJ",18,21,18,23,12,9,18
"R_70uDhyahvtsqduM",13,13,14,16,7,6,13
"R_7K2UaEf13kPFlf5",11,12,12,11,5,7,13
"R_1m2a7udOCDun13J",18,10,11,20,9,1,21
"R_15F4qBHBI8cfkAB",9,2,4,4,1,1,4
"R_5qgj4blxxqm1H3i",18,21,11,15,10,11,13
"R_3dHciQA5t6DOvw3",23,26,23,28,13,13,22
"R_3dMlw1oFPhqtbXI",15,20,16,15,9,11,14
"R_3LbDPvF5pZ04z9T",6,3,6,5,2,1,8
"R_7PABCIXVVl8tfzz",6,2,4,9,1,1,8
"R_38NVKpny3dgtqyC",3,4,7,5,4,0,9
"R_5EiKfJljrEZ15zh",NA,5,6,8,4,1,12
"R_7alPva89UP0o5eG",17,20,17,17,11,9,20
"R_1Pd4ZMroipqVHCj",12,5,8,9,3,2,11
"R_3HRRLg2KU5uPl6x",6,4,4,8,4,0,8
"R_7dGOQ0yPHMubSSB",8,9,10,9,7,2,6
"R_5JgfZUL3aaCOYpO",12,4,6,11,4,0,10
"R_6dGknuFTemF90Vf",12,6,13,11,6,0,14
"R_6finOPOpHNPbG1j",0,1,0,0,0,1,4
"R_1EAsCCQKlzUirN1",7,6,9,11,6,0,16
"R_6zTpgls81lmbP0t",28,25,24,27,13,12,25
"R_11tlkNzOkYrwCUS",0,3,5,6,3,0,8
"R_6dFXBS5Si207siG",15,13,15,18,5,8,16
"R_5medLhJHatzlNMh",23,19,22,21,11,8,20
"R_6F06Glbz5OzTcL7",27,22,21,21,13,9,25
"R_7IrPij1BKJtdzbR",18,14,18,18,7,7,23
"R_72Siro7VW7tRzkZ",4,3,7,7,2,1,11
"R_5kcvOr4fMU1ce8t",4,2,5,10,2,0,12
"R_3ff3HkhHB3XV5Ie",15,10,13,14,7,3,16
"R_1yX02JbLMN46ckp",11,11,14,11,7,4,15
"R_5zaS6WQFyO5qPmN",8,6,3,7,4,2,2
"R_6ldSvtUjE6pIjKN",18,16,18,17,9,7,16
