"ResponseId","bisbas_matrix_1","bisbas_matrix_2","bisbas_matrix_3","bisbas_matrix_4","bisbas_matrix_5","bisbas_matrix_6","bisbas_matrix_7","bisbas_matrix_8","bisbas_matrix_9","bisbas_matrix_10","bisbas_matrix_11","bisbas_matrix_12","bisbas_matrix_13","bisbas_matrix_14","bisbas_matrix_15","bisbas_matrix_16","bisbas_matrix_17","bisbas_matrix_18","bisbas_matrix_19","bisbas_matrix_20","bisbas_reward_res","bisbas_drive","bisbas_fun_seek","bisbas_bis"
"R_6aDiWbvge35ZuzB",4,3,1,3,2,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,20,16,16,18
"R_3pS4UGNjUGhIFZT",3,3,4,3,2,4,2,3,3,3,4,3,3,3,2,3,3,4,4,3,17,13,11,21
"R_3qby870JiO6FspX",1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,2,3,1,10,6,4,7
"R_5oYBS1C3GhrvWvN",3,3,4,4,3,4,3,2,2,2,2,2,1,2,2,3,4,4,4,3,18,8,7,24
"R_6f0NGQOyPoOxR0c",2,3,3,3,2,3,2,4,3,3,3,2,2,3,2,3,3,3,3,3,15,13,9,18
"R_6ULGxCjM2NBYE0x",2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,2,14,8,11,14
"R_5GlYha5NaGXhs5W",2,2,2,2,1,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,15,13,12,11
"R_1QjwkebCB0V213j",3,2,2,2,1,2,2,2,2,2,2,3,2,2,2,3,3,3,3,2,14,8,9,14
"R_3NTWG9v4ZGTgOBH",3,3,4,3,3,3,2,3,3,2,2,2,1,1,1,4,4,4,4,3,19,10,5,21
"R_3GNzZGNnPumekPh",2,2,2,2,1,3,1,3,3,3,3,3,2,3,2,2,3,3,3,3,14,12,10,13
"R_5j6GBjhiORYOZA4",2,3,1,2,1,1,2,2,2,3,2,3,1,3,2,3,3,3,4,2,15,9,9,12
"R_6wS5TpPLUH8BNq9",3,4,4,3,3,4,3,2,3,3,1,3,2,3,1,3,4,4,1,2,14,9,9,24
"R_3zYN7dYYBAK9u0O",3,3,3,3,3,3,2,2,2,2,2,2,1,3,2,3,3,3,4,3,16,8,8,20
"R_5lyPBW3iNpEU5fW",3,3,1,3,2,3,1,3,3,2,2,3,2,3,2,3,3,3,3,3,15,10,10,16
"R_7asIJEEywE2iQFv",3,2,3,3,2,2,1,3,3,2,2,3,2,3,2,3,4,3,4,3,17,10,10,16
"R_7CZgMiBp1j6jcKl",3,3,3,3,1,3,1,3,2,2,2,3,2,2,3,3,2,3,3,3,14,9,10,17
"R_5OGZ4I0FqSj0zPX",3,3,3,3,3,3,3,2,2,2,1,2,1,2,1,3,3,3,3,3,15,7,6,21
"R_6oMjaAPnBnKkvpL",1,2,1,3,1,1,1,3,3,3,3,3,3,3,3,3,3,1,3,2,12,12,12,10
"R_7KiUtrBbZioGZ7X",2,3,3,3,2,3,1,3,3,3,2,2,2,3,2,3,3,3,4,3,16,11,9,17
"R_6huzMhFw2Poayvj",2,3,3,3,2,4,1,3,3,3,3,2,2,2,2,3,3,3,4,3,16,12,8,18
"R_7VPdEPFK8NVC5lR",1,1,1,2,2,2,1,2,1,1,2,2,1,1,2,1,2,3,2,2,10,6,6,10
"R_7j96P5KGC0KLL0s",3,2,1,1,2,3,0,3,3,2,2,2,2,3,2,3,4,4,4,3,18,10,9,12
"R_5EnIuaVKtrA7PJK",2,3,2,3,2,3,1,3,3,3,3,3,3,3,3,3,4,4,4,3,18,12,12,16
"R_7fa81plYMJGXUzf",2,2,2,2,1,3,1,3,3,3,3,2,1,2,3,3,3,3,3,3,15,12,8,13
"R_5MsZxvWgd71QNoJ",2,3,1,3,3,1,3,3,3,3,3,2,1,2,1,3,3,3,3,2,14,12,6,16
"R_3ruVXKXkCjALiuy",2,1,3,3,2,3,1,3,3,2,3,3,1,3,2,3,3,2,3,3,14,11,9,15
"R_3tEZf9k4YY8YABi",3,3,2,2,2,3,2,3,3,3,2,3,2,2,3,3,3,3,4,3,16,11,10,17
"R_323UDLYL1w6aEOr",2,4,4,4,1,4,3,2,3,3,3,3,1,2,2,4,4,4,3,3,18,11,8,22
"R_7QVTSE8Pzkp36lH",3,3,3,3,2,3,1,2,2,2,2,2,2,3,2,3,3,3,3,2,14,8,9,18
"R_7XtEGFXxOJgoM93",3,2,2,3,2,3,1,2,2,2,2,2,2,2,2,3,3,3,3,3,15,8,8,16
"R_1SwA1RGEhCLJZrF",4,4,4,4,3,4,3,3,3,3,2,2,2,2,2,3,4,3,4,3,17,11,8,26
"R_7ebuDuMKUIL9zyi",2,2,2,2,1,2,1,3,2,2,2,3,2,3,2,3,3,3,3,3,15,9,10,12
"R_5wWzfbWu0jq8Fc5",2,3,3,3,3,2,1,2,2,2,2,2,3,3,2,3,3,3,3,3,15,8,10,17
"R_50Ptqz8nPx7YHQD",2,3,3,3,2,3,1,3,3,3,2,3,3,3,2,3,3,3,3,3,15,11,11,17
"R_3uODD2pdNI8jXXP",2,3,3,3,2,3,2,3,3,3,3,3,2,3,2,3,3,3,3,3,15,12,10,18
"R_7uDQOrG28WLjm4m",2,2,2,2,1,2,1,3,3,3,3,3,2,3,3,3,3,3,3,3,15,12,11,12
"R_5R4LrQ8jXinBsMV",1,3,3,4,2,4,2,3,3,3,3,3,3,3,2,3,3,3,4,3,16,12,11,19
"R_5gFuI6Zdce2HOMq",2,3,3,2,2,3,1,3,3,4,3,3,4,3,4,3,4,2,4,4,17,13,14,16
"R_6NFhU0bXejXyu3v",3,4,3,4,2,3,2,2,3,2,2,3,3,3,2,3,3,3,3,3,15,9,11,21
"R_5dv8MJ9XT2tsOk6",3,3,4,3,0,3,2,2,3,4,3,3,3,4,3,2,1,3,3,4,13,12,13,18
"R_7MDxBq8mtH5I2a8",2,4,4,4,2,1,2,3,3,2,1,3,4,3,3,2,2,4,3,3,14,9,13,19
"R_1OXquApJXnrC9Hz",3,3,3,2,2,3,2,2,4,3,2,3,3,3,2,4,3,2,3,2,14,11,11,18
"R_59BGTvIulbj5Ok9",3,2,2,3,3,2,1,2,2,3,2,2,2,3,2,2,1,3,3,1,10,9,9,16
"R_3HSylAQObjq7nOk",3,4,2,3,2,3,2,2,2,2,2,2,3,3,2,3,3,2,3,3,14,8,10,19
"R_5ikEQ9CFFY4yKnv",4,4,4,4,0,4,3,1,3,3,3,3,3,2,2,3,3,3,3,2,14,10,10,23
"R_5cpAUcYiSFu8pFr",2,3,3,1,3,1,1,2,3,4,2,1,2,3,1,1,4,1,3,1,10,11,7,14
"R_5FncB44tYK8cz8R",1,3,4,4,0,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,20,16,16,19
"R_5IQCuxi5CkbT8HN",2,4,3,2,1,2,0,4,3,2,1,3,4,1,2,2,4,3,2,3,14,10,10,14
"R_1kFgIarWRGRiNHk",2,3,3,3,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,15,12,11,18
"R_1jNjo5BcokYvGAN",4,3,4,4,2,3,3,4,3,4,2,2,4,2,1,1,3,2,4,3,13,13,9,23
"R_7EmnTpRv4SVEkHD",2,2,2,2,1,2,1,2,2,2,3,2,2,3,2,3,3,3,2,3,14,9,9,12
"R_6lJ7CPijxHhmHlf",2,4,3,2,0,2,3,3,3,4,2,2,4,2,2,3,1,4,2,2,12,12,10,16
"R_6g7n6d7zHUwIoMX",2,3,3,1,2,2,2,3,3,3,2,1,2,3,3,4,3,2,3,2,14,11,9,15
"R_5RMLoJsyr6kr6gN",3,2,3,2,2,3,2,3,3,2,2,3,3,2,3,2,2,2,4,3,13,10,11,17
"R_3o8c5VkhDvyoBfB",4,4,4,4,3,4,3,1,1,1,2,2,1,2,2,3,3,4,3,2,15,5,7,26
"R_1Gg0qg71vPhfaav",3,4,3,4,2,3,2,2,2,2,2,3,2,3,4,2,3,3,3,3,14,8,12,21
"R_1YAfOl1rXVFwEkk",3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,16,12,12,19
"R_5foOmJLH4T2YLv5",4,4,3,3,1,3,1,3,3,3,3,3,3,3,2,3,3,4,4,3,17,12,11,19
